preds,true
0.38397855,0.3
1.9198494,2.7
2.3574014,3.7
1.0835843,1.7
0.85807097,0.0
1.562311,3.7
0.45549285,0.3
0.8155371,1.0
0.29124936,0.0
0.48835924,0.7
3.1452808,2.0
0.585942,0.7
0.9417201,1.0
0.95288306,1.7
1.1040487,1.7
3.129503,1.7
3.1127741,1.7
1.4924772,1.0
3.888755,4.0
1.7840087,2.7
0.46256587,0.3
1.5196941,0.7
0.7582109,0.7
4.1795626,5.0
1.3302343,0.7
1.629971,2.7
3.6868105,4.0
0.44008175,0.0
1.5550611,2.7
0.5372912,0.3
0.46080673,0.7
0.72868913,1.3
1.8558633,3.7
1.3667492,1.7
2.6734028,2.7
1.2300369,2.3
1.0573624,0.7
1.0149906,1.0
2.57295,1.3
3.2020576,2.3
0.98556584,2.0
3.382149,4.0
1.2276889,0.3
1.5895697,1.3
0.36648858,0.0
1.675096,2.3
1.2602254,0.0
2.3040802,3.7
1.8049381,2.3
1.7974305,2.0
2.4306684,3.0
3.6370795,4.7
4.127815,5.7
0.70995903,0.3
2.4647405,3.0
1.6118414,0.3
1.2782447,0.3
0.41648898,0.3
1.2451019,1.0
0.8690068,2.0
1.2590389,1.7
0.36929184,0.3
1.466017,1.7
1.1462929,1.7
3.5661774,6.3
0.4498657,0.3
2.5055192,2.0
0.8606374,0.7
1.1049159,0.7
0.9133036,1.0
2.5261846,3.7
1.6104221,2.0
2.9893816,1.7
0.39602548,0.7
1.7213846,2.0
2.1251922,3.0
0.39701882,0.3
0.3200796,0.3
1.1340568,1.0
0.54066926,0.3
2.543642,4.0
0.9723333,0.7
2.089775,2.0
0.3364474,0.3
1.4241482,1.0
0.30941764,0.0
1.1461916,2.0
2.0449116,2.7
1.8948087,1.3
0.84825414,0.0
2.3506014,1.3
1.4943264,1.3
1.50773,0.0
2.0715978,1.7
1.6450124,2.0
0.52006686,0.3
0.47375196,0.7
1.1060603,3.0
4.1099243,4.7
1.9933869,2.0
2.84354,3.0
0.8749963,0.3
2.8912764,3.3
0.6003822,1.0
2.906259,2.7
1.223003,1.3
2.6615758,3.3
1.4948908,1.0
1.2640585,1.3
3.1170912,2.3
3.3180382,2.7
3.1030924,2.7
3.0070958,2.7
0.41072035,0.3
2.9161944,3.7
0.67098117,1.3
2.1778717,1.7
3.2367918,1.7
1.3241664,0.3
1.1482519,1.0
0.36034584,0.7
1.4297899,1.3
0.9870813,0.7
1.7987851,3.3
2.5055044,3.3
2.0181434,2.0
3.0869703,3.0
1.4210486,1.0
1.2092087,2.0
0.99728143,0.3
1.8699412,0.7
1.8208349,1.7
2.3562436,3.3
2.0855854,1.3
1.8902006,2.7
0.37852335,0.3
0.44979602,0.0
0.56721413,2.0
3.860559,1.3
2.0459595,2.0
1.209537,3.3
1.7814476,2.3
3.0334494,5.3
2.8985999,3.3
0.3072782,0.3
0.3773954,0.0
2.1696992,1.7
0.332557,0.0
1.5056733,1.7
2.5751784,2.0
0.84921336,1.0
1.5609555,1.3
1.3740904,1.3
3.274947,3.7
2.9994407,3.3
1.6979005,1.7
1.7805641,2.3
0.38743928,0.3
0.94445467,0.3
0.63011044,0.3
1.6271942,1.7
1.7013059,3.3
1.4274147,1.0
3.0078802,3.0
1.780102,2.0
0.91217333,1.0
1.3840407,0.7
0.6646007,0.3
0.9135232,0.7
0.6970631,1.0
1.4039953,2.0
1.1073036,1.0
1.1503237,2.7
3.2679327,3.3
3.2787604,4.3
0.776855,1.7
1.5737035,1.0
3.6623454,3.0
1.0365746,0.7
0.45458952,1.0
1.2142584,0.3
0.5876241,0.7
1.2923622,0.7
0.44977552,1.7
1.6877258,1.7
1.3796993,0.3
2.5650082,3.7
1.3318701,0.7
3.1342907,3.3
0.39983082,0.3
1.1896964,3.0
2.6303153,2.7
2.7831366,3.0
3.2215517,4.0
1.4527365,0.7
1.0835205,1.3
2.3134263,0.7
0.6525792,0.3
1.473522,1.7
1.7823611,2.3
3.4635322,4.7
0.94852537,2.3
2.1053605,2.7
1.1954399,2.0
1.9075191,1.0
2.6296556,2.7
1.2349031,1.7
2.1544652,1.3
2.0683975,3.0
1.0107311,0.7
0.54769063,0.3
2.7813976,2.0
1.9193832,1.7
0.37800658,0.3
2.760318,2.3
1.2275797,0.7
1.1769401,0.7
0.36519688,0.3
1.3073728,2.0
0.73854,0.7
0.9971883,1.0
2.649547,2.7
2.3287723,1.3
0.39753258,0.3
1.5813866,1.0
2.8952603,4.7
0.4270012,1.0
1.3816541,0.7
2.0056167,2.3
0.33209744,0.0
1.046127,2.0
3.1685593,0.3
2.2491796,0.7
0.6973692,0.3
2.0270572,3.3
0.54705554,1.0
2.7188103,3.7
0.85056937,0.0
3.5929873,3.3
0.695261,1.0
0.5115556,0.3
0.67848593,1.0
2.9099271,3.0
1.007262,0.7
1.1596726,1.7
1.886468,1.7
1.5807635,3.3
2.699904,0.7
1.4007618,1.0
3.7802002,3.7
2.9314146,2.3
1.3024571,1.3
1.0851392,1.3
1.7801187,2.7
0.79036826,0.7
1.5082059,0.7
0.929857,0.7
1.9465015,2.7
0.9932013,1.3
0.39685857,0.7
0.58938277,0.3
2.568802,2.3
1.9245746,2.3
2.5461571,4.0
1.1399881,1.3
3.0244484,4.0
2.189304,1.7
1.1208037,1.7
1.5524081,2.0
1.1494162,1.3
1.0658671,1.0
0.8195709,1.3
2.686737,2.0
1.7577091,2.0
0.6357728,0.7
1.2592661,1.3
1.7496433,1.0
3.2039678,3.0
3.0548549,2.3
2.5918684,2.7
1.6418864,1.0
0.6154742,1.3
0.40169042,0.3
1.8616989,0.7
1.1681204,0.7
0.6426516,0.3
0.48613265,0.3
2.2269337,2.7
1.7715157,1.0
0.3066419,0.3
0.5376316,0.3
2.2980816,3.7
1.7594678,1.7
0.84601474,1.7
0.97775173,1.0
0.91165864,0.3
0.67637634,0.0
0.9290433,0.3
1.1685256,2.3
1.3238329,1.7
0.39216396,0.7
1.754633,1.7
0.94933146,0.3
2.6438527,2.0
2.003047,2.7
0.86468506,0.7
1.9952644,1.7
1.8463123,2.7
0.8760146,1.0
0.5114075,0.7
2.856029,4.0
1.313431,0.7
0.31888807,0.3
3.3962157,3.7
1.2866704,2.0
0.95715946,0.7
0.802928,0.0
0.8717568,1.0
1.496954,0.7
0.7034567,0.7
1.2414532,1.3
1.527505,0.3
2.0317674,0.3
2.4338324,3.0
0.41295785,2.0
3.4740446,4.0
0.77766,1.3
1.3139278,0.3
1.8058504,2.0
2.7357388,2.3
0.72602785,0.3
1.1747929,0.7
3.2000608,2.0
2.2181313,2.3
1.24226,1.3
2.9624271,2.3
3.1602924,3.0
1.0320847,1.0
1.0498364,0.7
3.156824,2.0
1.9261879,2.0
0.42476466,0.3
0.5900388,0.3
0.72315574,0.3
0.38462126,0.3
3.0735848,2.3
0.8699516,2.0
0.5963563,1.0
4.107912,3.0
0.9627974,0.3
1.3000331,1.7
1.4675536,2.3
0.35494164,1.3
2.3581963,0.7
2.1430113,3.3
2.1071265,3.0
3.148043,2.3
3.38707,5.0
1.2207627,1.0
0.5805244,0.3
1.0429907,1.3
2.7601714,2.3
3.131218,2.7
0.73836726,1.0
0.31036627,0.7
1.2927285,1.0
1.05723,1.3
1.5457432,1.0
0.57746375,0.3
0.4905207,0.3
2.6314979,3.7
2.3025525,1.7
0.92983294,1.0
1.1300365,0.7
2.619819,3.3
3.9917116,4.7
1.6277025,2.0
0.334454,0.0
0.39225382,0.3
0.8072555,1.3
2.1360729,2.0
1.3269049,3.0
2.1137538,2.0
3.0369515,4.3
0.763173,2.7
0.32448065,0.0
0.45737112,0.3
1.2215567,3.0
0.9651448,1.0
1.6968416,2.3
1.2783614,0.3
2.9360874,4.0
1.0931447,1.0
1.4852482,0.7
0.40678683,0.3
0.38804615,0.3
0.91164297,0.7
2.6641335,0.3
1.0836288,1.0
1.5566643,0.7
1.110587,3.3
1.6406345,0.7
1.5459617,0.7
2.1055572,1.7
1.3762972,1.3
1.0877557,1.7
0.9554062,1.3
1.562311,3.0
0.93380225,0.3
1.0948745,2.0
2.6548097,2.7
3.2378814,2.7
1.6366613,1.7
0.9030286,1.3
1.9574084,2.3
1.4093487,1.0
0.5567575,0.3
0.7514932,1.0
1.5273262,0.3
1.2929721,0.3
2.5861015,2.7
0.7199692,0.3
1.2460624,0.3
0.61729133,0.0
2.2127466,2.7
1.9140136,2.7
2.367951,0.3
2.5159488,2.0
0.94800806,1.3
0.6076471,0.0
1.5519574,1.3
0.8011478,1.0
3.0529745,3.0
0.80588996,0.3
1.4882251,2.3
1.2918291,1.7
0.5707252,0.3
2.2646227,1.7
2.0219042,1.3
0.5077662,1.3
2.0626674,3.0
3.1865678,3.0
1.1137143,3.3
0.9659975,1.0
0.5351523,1.0
1.7418666,2.3
0.4633995,1.0
3.2814085,3.0
0.94262886,1.7
3.0151792,1.3
0.83534706,2.0
3.0236504,2.3
1.6434371,2.0
0.37413943,0.3
3.4474843,4.3
2.859635,1.7
1.4786987,1.3
2.9441223,3.0
0.9929315,0.3
2.1060128,1.3
1.562311,0.0
1.1723287,1.7
1.562311,3.0
2.561489,2.7
0.71109617,0.3
0.41858315,0.3
1.5744786,2.7
2.6884217,4.0
1.4722282,1.7
2.0506766,1.3
3.2199578,3.0
0.40219092,0.3
1.1083145,1.0
0.70533884,0.3
0.6242143,1.7
0.9292499,0.7
0.6466982,0.0
0.9582507,1.0
1.5594476,1.3
3.7431533,2.3
2.125253,1.7
1.320282,0.0
2.4916916,1.7
1.1776711,1.0
1.7134128,0.0
0.5331425,1.0
0.91976494,0.3
1.4212372,2.3
1.6017348,1.3
3.4165888,5.0
1.4843812,3.0
1.6308894,1.0
1.6797483,0.7
1.0350802,2.0
0.86264265,1.0
2.342117,2.3
3.463349,2.0
0.68685246,0.3
1.2173127,0.7
1.3126252,1.7
3.3741808,3.3
1.9470242,2.3
1.6971475,2.3
0.527945,0.0
1.0969996,1.0
1.6162134,3.0
1.0702354,0.0
2.726007,4.0
3.0716121,4.3
1.7404952,1.7
2.2508202,4.3
0.29036525,0.7
1.6909866,2.0
1.9854662,2.3
2.007805,1.3
1.3152925,2.7
1.2283516,0.3
0.5569787,1.0
1.562311,0.7
1.1945064,1.0
1.510901,0.0
1.5623975,1.3
1.4699154,0.7
2.5243614,1.7
0.45262074,1.0
2.8306506,3.3
0.42860964,1.0
2.9452477,2.3
1.7871956,2.7
0.5028572,0.3
2.194707,1.0
1.6337708,3.3
2.157846,2.7
1.2114056,0.3
2.1421187,1.0
2.7125483,3.3
0.8686942,0.3
1.5795532,1.3
0.7175008,0.0
1.3886232,0.3
0.73849785,0.7
3.051149,3.7
0.36999705,0.0
3.0832388,4.3
2.2226691,1.3
0.8674812,1.3
0.9330087,1.0
3.0166504,2.3
1.1071028,1.3
1.6158155,1.0
1.850924,1.3
2.4458265,2.0
2.070376,3.0
0.34704378,0.3
1.527065,3.0
1.8658469,2.0
0.46081585,1.0
1.6442481,1.0
1.1899137,1.0
3.0575147,4.0
1.8652899,1.7
2.4144454,3.0
0.28113765,0.3
0.39594558,0.7
3.1373537,1.3
1.3481078,0.7
2.8415475,1.7
3.0897548,1.7
0.79602623,0.3
2.459166,2.7
2.235975,2.3
1.0119123,1.0
2.683598,0.7
0.77082306,1.3
1.6958786,1.3
1.0830173,1.7
0.92331576,0.7
2.8831024,2.0
0.40685087,0.3
1.562311,1.3
1.7417935,1.3
1.4541538,1.0
0.5380124,1.7
0.46638757,0.0
1.270638,0.7
1.4769135,1.0
0.65099037,0.7
1.5495338,2.0
0.99310166,1.0
1.3569627,1.3
0.5087948,1.0
2.701312,2.0
0.51282114,0.3
1.2747073,1.3
3.1788602,2.7
1.0733491,1.7
1.8057982,3.0
0.357864,0.3
2.0503933,1.3
1.5615634,3.3
1.2805929,3.0
2.0353496,1.7
2.9438353,3.0
1.1987194,0.3
2.692846,4.3
0.3310811,0.3
2.711494,3.0
1.871483,4.7
0.4415545,0.3
0.927876,1.0
3.3517022,3.0
0.9301909,0.3
1.6191356,0.7
1.0606018,1.0
1.4882305,0.7
1.9556957,1.0
0.40398234,2.0
1.7291529,1.7
1.1513631,1.3
1.4347185,0.7
0.83300364,0.3
1.1480683,0.0
2.3544543,1.3
1.8482533,1.3
0.712827,0.0
1.5552161,0.7
2.5482318,3.3
3.852502,3.3
0.34610015,0.7
0.5178911,0.3
0.28816575,0.3
1.1021612,2.3
1.9573303,2.3
2.8933015,3.0
2.66673,1.7
3.002089,2.3
0.9160582,0.3
1.7900583,1.0
0.6725593,1.0
1.5619678,0.7
3.1184154,2.7
1.4944956,2.3
1.4299067,1.7
0.7655699,0.3
1.8199427,2.0
1.4817905,0.7
2.8295774,2.3
1.4956613,2.0
2.645822,2.7
1.4226592,2.0
0.97758675,1.3
2.021351,2.0
1.5468167,0.7
3.2905166,1.7
1.0365516,1.3
1.462759,1.3
1.495362,0.7
1.5700922,1.3
2.0029185,2.7
2.239512,2.7
2.991854,3.7
1.6608564,1.7
0.8453962,0.0
1.5030191,1.3
0.34738237,0.0
2.8183484,3.3
1.2798856,2.0
1.188777,0.7
1.5492697,2.0
4.105875,4.7
2.591601,1.0
0.3270867,1.0
1.8273863,3.0
0.53166634,1.3
1.9493301,0.7
3.2394156,5.0
1.1033163,1.0
0.6896185,2.0
1.4654692,2.3
1.1404167,0.7
2.3288503,1.7
1.4405307,1.0
0.9172439,0.7
3.2144828,4.7
1.0935112,1.3
0.3800024,0.3
1.4928273,1.3
3.5538871,4.0
0.54013747,1.0
0.42412516,1.0
1.1276125,1.0
1.1773664,0.3
0.48259684,0.0
1.0172896,0.0
1.512991,1.0
1.0077441,0.0
2.3418548,1.7
1.8218243,2.0
0.80286205,0.3
4.1386704,4.7
0.5455469,0.0
0.6245259,0.0
1.1045482,3.0
0.7539177,0.3
1.9533882,2.3
1.6868895,1.0
2.0812724,2.3
0.536913,1.0
1.6082805,2.3
0.41518322,0.7
1.996146,1.7
1.5324613,0.7
1.7961018,2.3
0.7604613,1.3
1.6675649,1.0
2.3679593,3.3
0.826337,0.7
0.39659482,0.7
2.0319083,1.3
3.6660204,5.0
0.78736013,0.3
0.8476454,0.0
2.4732287,2.7
0.725691,1.0
0.72707057,1.0
3.0754564,3.0
0.35703716,0.0
2.2148867,2.0
1.6012353,4.0
1.9964539,3.3
1.8896286,2.7
2.4634454,2.7
3.5674446,3.3
0.3810213,0.7
0.925684,0.3
1.9952624,2.0
1.0569667,1.0
1.229539,2.3
0.26489952,1.3
0.3975917,0.7
1.7523168,3.7
2.5692453,1.7
0.65405685,0.0
2.4921637,4.0
0.83054316,0.0
1.2112699,0.7
3.2186015,3.7
2.388631,1.3
0.75933474,1.0
1.6855292,1.0
1.3310184,2.0
0.7270603,0.0
0.7525898,0.3
2.1319973,1.7
0.85513365,0.3
1.3230975,1.3
1.6440319,3.0
1.0468895,0.0
0.3176433,0.0
1.5525583,1.3
1.0341327,0.3
0.70794195,1.3
0.9603685,0.3
1.441005,1.7
0.8302009,1.3
2.1543016,3.0
2.2170272,2.0
0.60811126,0.7
1.4903642,1.0
1.9414752,5.7
1.2075009,2.7
0.99423975,1.0
1.4441874,3.0
2.0668232,3.0
2.7886934,2.7
2.3614445,3.3
0.8797246,1.7
0.39770067,0.7
0.7659715,0.0
1.158431,0.0
1.2989647,2.0
1.8075961,2.7
0.67092717,1.3
0.9855654,1.0
0.86221147,1.0
2.1602721,2.7
1.268376,0.7
2.7119715,2.7
3.3367207,3.7
0.7615857,1.3
0.666184,0.7
1.0738558,3.0
1.1874186,0.3
0.7403594,0.3
1.0668651,2.0
0.86400115,1.3
1.6982791,1.7
1.2097439,0.7
3.2565858,3.0
1.6012511,2.0
1.9423753,3.0
1.9365239,1.7
1.6919401,0.3
1.4195892,1.7
0.3881118,0.3
2.0450723,0.7
0.94198656,0.7
3.0265744,2.3
1.4885783,2.7
0.7916535,1.0
0.9456978,1.7
2.244678,1.7
2.0816255,2.3
1.8253089,2.7
2.731607,2.3
0.984981,0.3
1.240228,2.0
1.0895026,0.3
1.1139448,2.3
1.164461,1.3
1.472858,1.3
0.9453093,2.3
1.8627431,1.7
3.0862813,2.7
1.3857301,2.0
1.3600065,1.0
1.2370358,0.3
1.3947415,0.3
0.97582716,1.0
1.145979,0.3
2.2403717,2.0
0.33042234,1.7
0.73192394,0.3
1.8733375,1.3
3.2461295,2.3
1.3040677,1.0
2.4682546,4.7
2.2718017,3.0
1.9896563,2.0
3.137811,2.0
2.0120344,1.0
2.660344,2.7
0.35447395,0.0
1.8272512,1.7
1.2126198,1.3
1.5018253,1.0
1.4636871,1.3
1.8215938,2.7
1.8338399,3.0
0.93965954,1.7
2.3538978,3.0
1.1446412,2.0
3.051199,2.0
2.4958866,1.0
1.5025573,1.3
1.2473722,0.3
1.4748001,0.7
3.1517227,3.3
2.4755988,3.7
1.9225786,1.7
2.4257624,3.0
1.505235,1.0
3.2135785,4.3
1.5038797,1.3
0.8464913,1.0
1.5307993,1.7
0.3687397,0.7
0.9564279,0.7
0.81538963,1.3
0.9396147,0.0
1.7087133,2.7
2.4454768,3.0
0.36552024,0.3
0.8434663,0.7
0.8841245,0.7
4.6995983,4.0
3.1512694,4.3
2.2177885,3.0
0.96896404,1.0
1.186336,0.3
0.9898288,1.0
2.5318816,5.0
2.2785425,2.3
0.40854812,0.0
1.1765316,1.3
1.0885785,1.7
1.7077421,1.3
0.32763284,0.0
2.095217,1.7
1.2968056,0.3
0.3070386,0.7
1.3809508,1.7
0.96411556,0.3
0.37258953,0.3
3.1181817,4.0
2.510338,2.3
0.38629836,0.3
1.4015713,3.7
2.1729064,4.0
3.1778882,4.0
1.5747848,2.3
1.4575145,0.3
0.33826804,0.3
1.3256925,1.0
3.151611,3.0
1.3436828,0.0
3.1960368,4.7
1.726267,2.0
1.1966527,2.0
2.9732401,2.7
2.061402,2.7
1.464875,2.3
0.68439806,0.3
0.9312275,0.3
1.5377502,1.3
1.5173221,2.0
3.3929305,3.3
1.5012314,2.0
0.9256153,0.7
1.6564348,1.0
0.43038166,0.3
1.4207267,1.3
0.59783596,0.0
2.4915123,1.7
0.9422347,0.0
1.8245904,2.0
0.59793854,1.0
1.52563,1.7
1.6349243,1.7
0.91961175,1.3
2.9118013,4.7
1.669927,3.3
2.763457,3.3
0.5335166,0.0
1.2416643,1.3
1.6455797,1.3
3.188436,8.3
1.5881727,2.3
0.4467081,0.7
0.38247272,0.7
2.7451017,3.0
3.3550317,4.0
1.5885897,0.3
1.5619678,1.3
1.7040857,1.3
3.1950767,4.0
0.37454027,1.0
0.8432424,1.3
3.3805382,4.7
3.6753378,4.0
1.7857598,2.0
0.7293984,0.3
1.5346427,2.3
5.027963,6.3
0.8037019,0.0
0.17102465,0.0
2.4433596,2.0
2.9645927,2.3
0.41389573,1.7
2.15671,3.0
0.4711873,0.3
1.9668463,2.3
1.5049667,0.7
1.1689408,1.3
1.0963111,1.7
0.61044216,0.3
0.33120406,0.0
1.5952266,1.3
0.9237339,0.3
1.7901833,1.7
1.5507004,0.7
1.0290146,0.7
0.3936682,0.0
1.0556362,0.3
0.3947402,0.0
1.4803522,2.0
0.29703462,0.3
2.5167143,3.7
0.31525654,0.3
2.5570726,1.7
0.45310152,0.3
0.66771007,1.0
3.001294,3.0
4.1493506,4.0
0.7747558,1.0
2.9552112,2.3
0.29757833,0.3
1.9945463,1.7
2.2410655,3.0
2.4028778,4.0
3.6840546,4.0
3.1523907,3.0
1.8237921,0.7
3.4896927,4.7
0.80807745,1.7
1.0175304,0.7
2.409598,2.3
1.6059644,2.0
0.7206608,0.3
1.6890421,1.3
0.41920954,0.7
2.7838805,1.0
2.14247,1.3
0.8223526,1.0
1.053606,1.3
0.406097,1.0
1.7030141,1.7
2.203844,0.7
1.3419776,2.0
0.38978186,0.0
0.57288533,0.7
2.5864303,3.0
0.9973197,0.3
0.9106928,1.7
4.376327,4.3
0.41221425,0.0
0.8457387,1.0
0.70953,1.3
1.0677016,2.3
1.8784292,1.3
0.6890755,0.7
1.221483,1.0
0.35756356,1.7
0.3510444,0.7
0.6910248,0.0
1.5704999,1.3
1.9406922,2.3
2.2764826,2.3
0.47900566,0.3
1.336829,1.0
2.528374,3.3
2.563138,1.3
0.90764207,1.7
1.970121,1.3
0.33024168,1.7
0.393084,0.0
1.2844323,0.0
2.4816966,3.3
1.6563387,1.0
2.083302,1.0
0.64562786,2.3
0.7391219,0.3
0.5686922,0.0
0.86650074,0.7
2.63561,2.7
0.43394253,0.3
1.8561318,1.0
0.59532195,1.0
2.571446,2.7
0.82003045,1.7
2.5694187,3.0
0.8149164,0.3
1.8400164,1.3
2.5783908,4.0
1.0937631,0.0
1.9446795,2.3
1.1285384,1.7
1.2645047,1.0
1.2084446,2.3
0.44517675,0.7
0.33145118,0.0
0.62936294,0.7
3.8491445,5.3
1.9285702,1.3
1.6198249,0.7
1.93769,2.0
1.6257486,1.7
1.7736957,2.0
1.5496792,0.7
1.1258003,0.7
0.6566516,0.7
3.2752948,3.0
0.7461049,1.0
0.55566704,0.0
0.76238,0.7
2.3700051,2.7
0.6431476,1.0
1.562311,0.3
0.588723,1.0
1.1407859,0.0
1.8383397,1.3
2.037987,1.7
2.2606056,2.0
0.6731602,1.3
1.0948296,1.0
1.6915262,3.0
2.828298,2.7
1.9127377,3.3
1.8669797,1.7
0.8689922,0.7
0.7044148,0.3
3.5540354,3.3
2.516817,3.7
0.57650447,0.7
1.0502423,0.0
2.3824894,4.0
1.6634388,2.3
1.1317482,1.7
2.1511188,0.3
3.240556,3.0
0.47226644,0.3
1.8806783,2.3
0.93192196,1.3
2.2201746,2.0
1.2320039,2.7
1.1157663,2.0
1.092841,0.7
0.60410523,0.7
0.60171854,0.0
1.1722077,1.0
